"season","player_name","avg_passing_epa","avg_rushing_epa","avg_fantasy_points","tot_completions","tot_attempts","tot_passing_yards","tot_passing_tds","tot_ints","tot_carries","tot_rushing_yards","tot_rushing_tds","passing_yard_rank","fantasy_rank","rushing_yard_rank","passing_td_rank","rushing_td_rank","completion_percentage","comp_percentage_rank","passing_epa_rank"
1999,"A.Smith",NA,-0.807128050378754,6.67714285714286,79,150,793,2,6,182,707,7,45,41,1,44,2,0.526666666666667,39,39
1999,"B.Favre",1.19441942569536,NA,13.23875,338,589,4068,22,23,26,131,0,2,10,17,7,26,0.573853989813243,24,14
1999,"B.Griese",0.407945984424256,-1.10006258345767,11.5671428571429,258,442,3006,14,14,44,117,2,12,23,20,17,4,0.583710407239819,20,18
1999,"B.Hobert",-0.212706640054549,NA,6.81111111111111,84,157,965,6,5,12,47,1,42,40,32,40,15,0.535031847133758,36,20
1999,"B.Johnson",3.94849762494989,NA,14.66375,313,515,3988,24,13,26,31,2,4,6,37,4,5,0.607766990291262,5,6
1999,"B.Tolliver",-2.0131676850813,NA,11.338,137,261,1897,7,13,24,135,3,27,24,16,37,3,0.524904214559387,41,30
1999,"C.Batch",-1.67397135201191,NA,12.2745454545455,149,267,1908,13,7,28,87,2,26,16,27,20,6,0.558052434456929,29,28
1999,"C.Chandler",-0.464506797583735,NA,11.8333333333333,173,304,2335,16,11,15,46,1,20,21,33,13,16,0.569078947368421,25,21
1999,"C.McNown",-1.33858199931448,NA,5.672,126,230,1452,8,8,31,150,0,33,43,12,32,27,0.547826086956522,34,25
1999,"D.Bledsoe",-1.62970079133725,NA,12.42875,303,533,3969,19,21,42,101,0,5,14,24,10,28,0.568480300187617,26,27
1999,"D.Brown",NA,NA,4.29555555555556,84,168,944,2,5,13,49,0,43,45,31,45,29,0.5,43,40
1999,"D.Flutie",0.745704082927936,0.341651056587452,14.2666666666667,261,471,3145,18,14,87,462,1,10,7,2,11,17,0.554140127388535,30,16
1999,"D.Huard",-1.95021706709759,NA,9.28888888888889,124,214,1280,8,4,28,124,0,37,31,18,33,30,0.579439252336449,21,29
1999,"D.Marino",-2.48947279209131,NA,9.32,199,361,2378,12,17,6,-6,0,19,30,45,21,31,0.551246537396122,31,32
1999,"D.McNabb",-7.3914854027705,NA,7.24181818181818,105,213,934,8,6,45,309,0,44,39,5,34,32,0.492957746478873,44,38
1999,"D.Pederson",-5.40310474380422,-1.25722643402987,5.138,118,226,1257,7,9,19,31,0,38,44,38,38,33,0.52212389380531,42,37
1999,"E.Grbac",2.92466308588852,NA,11.9625,293,494,3360,22,13,19,10,0,8,20,41,8,34,0.593117408906883,14,9
1999,"G.Frerotte",1.92743859642565,NA,12.4155555555556,174,287,2111,9,7,15,33,0,23,15,36,29,35,0.606271777003484,6,13
1999,"J.Blake",-1.32414939740458,0.987673866078486,12.7642857142857,211,383,2630,15,12,59,315,2,16,11,4,15,7,0.550913838120104,32,24
1999,"J.Garcia",1.9718511060421,NA,11.9646153846154,222,369,2516,11,11,44,229,2,17,19,9,24,8,0.601626016260163,9,12
1999,"J.George",4.22762338860949,NA,14.0716666666667,188,318,2769,22,12,16,41,0,14,9,34,9,36,0.591194968553459,17,5
1999,"J.Harbaugh",-2.10202838386813,NA,8.99714285714286,245,426,2654,10,14,32,118,0,15,34,19,26,37,0.575117370892019,23,31
1999,"J.Kitna",0.458254149475625,NA,12.5613333333333,267,487,3328,23,16,34,53,0,9,13,30,6,38,0.548254620123203,33,17
1999,"J.Miller",NA,NA,9.04571428571429,109,172,1233,7,6,5,0,0,39,33,44,39,39,0.633720930232558,2,41
1999,"J.Plummer",-5.39349778373326,NA,7.96333333333333,200,379,2104,9,23,38,114,2,24,36,21,30,9,0.527704485488127,38,36
1999,"K.Collins",-0.713681243257638,NA,11.032,190,328,2318,8,10,19,36,2,21,26,35,35,10,0.579268292682927,22,23
1999,"K.Graham",-0.684820249055691,NA,11.6533333333333,160,270,1697,9,8,31,111,1,28,22,22,31,18,0.592592592592593,15,22
1999,"K.Stewart",NA,NA,7.58533333333333,159,272,1422,6,10,55,256,2,35,38,7,41,11,0.584558823529412,19,42
1999,"K.Warner",10.7971681243414,NA,19.8093333333333,293,450,3956,38,11,21,89,1,6,1,25,1,19,0.651111111111111,1,1
1999,"M.Brunell",3.80985837227998,NA,12.7333333333333,259,438,3060,14,8,44,186,1,11,12,10,18,20,0.591324200913242,16,7
1999,"M.Tomczak",NA,NA,10.6377777777778,137,255,1596,12,8,16,19,0,32,27,40,22,40,0.537254901960784,35,43
1999,"N.O'Donnell",2.08085533203139,NA,10.3825,114,192,1374,10,4,19,1,0,36,28,43,27,41,0.59375,13,11
1999,"P.Manning",7.23500695997824,NA,15.63,326,527,4047,26,15,33,62,2,3,5,28,3,12,0.618595825426945,4,2
1999,"R.Cunningham",0.311084119343595,NA,12.2066666666667,122,195,1436,8,9,8,58,0,34,17,29,36,42,0.625641025641026,3,19
1999,"R.Gannon",4.46672712130097,NA,15.97875,302,512,3819,24,13,45,272,2,7,4,6,5,13,0.58984375,18,4
1999,"R.Lucas",3.07890640260958,-1.44697767139828,14.1288888888889,160,268,1669,14,6,41,144,1,29,8,13,19,21,0.597014925373134,12,8
1999,"R.Mirer",-3.01445619006012,NA,8.08285714285714,92,173,1042,5,9,21,89,1,40,35,26,42,22,0.531791907514451,37,33
1999,"S.Beuerlein",5.31884859120526,NA,18.31375,340,565,4413,36,14,24,105,1,1,2,23,2,23,0.601769911504425,8,3
1999,"S.Case",NA,-0.259106952440351,5.7,76,168,975,3,8,35,140,2,41,42,15,43,14,0.452380952380952,45,44
1999,"S.Matthews",-1.5508480730331,-0.735391672866324,11.2425,164,271,1621,10,6,14,31,0,30,25,39,28,43,0.605166051660517,7,26
1999,"S.McNair",0.833898787124286,1.57802289715125,18.08,185,329,2152,12,8,71,328,8,22,3,3,23,1,0.562310030395137,27,15
1999,"T.Aikman",2.58890814767128,NA,11.9857142857143,258,430,2920,17,11,21,10,1,13,18,42,12,24,0.6,10,10
1999,"T.Banks",NA,NA,7.94315789473684,167,318,2093,16,8,47,175,0,25,37,11,14,44,0.525157232704403,40,45
1999,"T.Couch",-4.6910235121754,NA,10.264,219,391,2409,15,12,38,256,1,18,29,8,16,25,0.560102301790281,28,35
1999,"T.Dilfer",-3.49442469967416,0.6048480507161,9.27,145,242,1610,11,10,34,143,0,31,32,14,25,45,0.599173553719008,11,34
2000,"A.Brooks",NA,-0.121751080001439,13.845,111,192,1494,9,6,41,170,2,33,11,16,29,9,0.578125,27,39
2000,"A.Smith",NA,NA,5.37809523809524,117,262,1246,3,6,139,551,4,38,39,2,38,5,0.446564885496183,41,40
2000,"B.Favre",1.43081137213664,NA,12.71,334,575,3764,20,16,27,108,0,5,15,21,10,27,0.580869565217391,24,14
2000,"B.Griese",8.31720081210106,NA,18.374,210,330,2606,19,4,27,95,1,18,3,24,12,13,0.636363636363636,3,4
2000,"B.Johnson",0.793001865901972,NA,9.94666666666667,226,359,2489,11,15,22,58,1,19,27,31,25,14,0.629526462395543,5,18
2000,"C.Batch",-4.58448316073138,NA,9.91066666666667,219,407,2469,13,14,44,199,2,20,28,14,19,10,0.538083538083538,37,33
2000,"C.Chandler",-4.27587526357042,NA,7.76285714285714,190,328,2227,10,12,21,60,0,22,34,29,28,28,0.579268292682927,26,32
2000,"C.McNown",-5.03202522444867,0.793056440298327,12.53,153,277,1635,8,8,48,319,3,30,16,9,31,8,0.552346570397112,34,34
2000,"D.Bledsoe",-0.653613127496005,NA,11.98,309,527,3247,17,13,47,158,2,13,19,18,16,11,0.586337760910816,23,27
2000,"D.Culpepper",6.62273502276363,NA,21.1975,295,469,3924,33,14,86,442,7,3,2,4,1,1,0.628997867803838,6,5
2000,"D.Flutie",2.92238085412996,NA,11.214,129,225,1656,8,2,35,159,1,29,23,17,32,15,0.573333333333333,29,11
2000,"D.McNabb",0.413495923760582,2.54940670874237,18.1,327,563,3320,21,11,83,623,6,12,5,1,7,3,0.580817051509769,25,22
2000,"D.Pederson",-5.32152464059289,NA,3.988,117,210,1047,2,8,17,60,0,39,41,30,41,29,0.557142857142857,33,35
